"HITID","email","Worker","Answer","Date"
"38RHULDV9XEQAOSEJ029LD2DVYLIWP","I believe that all of you have met Frank (whose last name I can't remember), 
the HR generalist who is currently working with Hector to serve the HR needs 
for Energy Operations in ENA.   Frank is working on a contract basis at this 
time, and Sheila Walton is seeking feedback on his performance to date in 
order to evaluate the duration of his work as a contractor and the 
feasibility of bringing him in as an employee.  I have given Sheila my 
feedback, but suggested to her that you may have had more contact with Frank 
than I have had.  Please take the time to send Sheila an e:mail message or 
voice mail to let her know what your experiences have been in working with 
Frank.  Your input will be very valuable to Sheila.   Thanks for taking the 
time to do this. ","A2653BIPJKEMRK","Action Required","2017-09-11 17:11:32 UTC"
"3U74KRR67LKQW8ZBLBAQ31RVD3XNTK","Why don't you and Rahil agree on the draft ASAP and then let Rahil send it 
out in draft form this Friday afternoon to all these individuals for their 
review and comments.  Rahil can work with these people directly next week on 
their comments.  Rahil is free from the day-to-day operations issues and has 
the time to push the product menu to the EA Originators.

We can still set up an offsite to finalize, but we need to get something out 
because these individuals are already out selling as we speak.

GP","A1F4D2PZ7NNWTL","Action Required","2017-09-11 17:11:54 UTC"
"3MGHRFQY2KOJSY6YUBVR06NXKC50YC","Hello Everyone,
Please find below the issues, action taken, and action plan / proposed 
resolution for GCP / SAP / Mid Office Systems interface.
If you have further questions/comments, please feel free to contact me.

Regards,
Janet","A2653BIPJKEMRK","Read Later","2017-09-11 17:12:39 UTC"
"3OZ4VAIBEWE9QACFB8IDBCYZ148VJ4","Dear Ms. Beck,

I want to thank you for interviewing me for the analyst position last week.  
I enjoyed meeting you and learning about your work.  My enthusiasm for the 
position and my interest in working for Enron were strengthened as a result 
of the interview.

I believe that my background and experience fit nicely with the job 
requirements, and I am sure that I could make a significant contribution to 
the firm.  I have not heard back yet and would appreciate any information you 
can give.

Thank You,

Irfan Iqbal","A2653BIPJKEMRK","Action Required","2017-09-11 17:13:35 UTC"
"31S7M7DAGFP088WQ9YUBQ9N688XLTG","Sally:

 Please take a look at this letter.  We are comfortable with it, but you need 
to be as well before it's sent.  Feel free to propose any changes.  Otherwise 
you can let it fly.

Brian","A2653BIPJKEMRK","Action Required","2017-09-11 17:14:41 UTC"
"3XAOZ9UYRYQAQL0UZKIX1P35QVTQ11","Rahil is working with me on a presentation that covers what our services are, the creation of a pricing desk, how that will work (process and revenue sharing), selling of services for others, our operations pricing model, the DASH process, key contacts in operations, etc.  I expect to review a draft by this Friday.  Tomorrow we will have the date set for such a meeting.  We are checking travel schedules for Laura Luce and Max Y. to see if we can catch both in Houston sometime next week.  Greg Piper suggests a meeting with all origination heads at once (a mini offsite).  We will do that if we can set a date that works for a majority.  If that doesn't work, we will simply do one-on-ones over the next ten days to get everyone.  Targeted attendees are:

Gas","A2653BIPJKEMRK","Action Required","2017-09-11 17:13:21 UTC"
"3D42WVSDH7UAP2LOXTEC3DA1QETYFD","Sally,

Are you aware of the problems with SAP?  This error caused an incremental 
$600,000 credit loss to Perry Gas Companies that could have been prevented.

Let me know if you have any questions.

Bill","A2653BIPJKEMRK","Read Later","2017-09-11 17:14:10 UTC"
"3L55D8AUF9W3MQ1E6ROBV7PYT11YC2","Weren't we supposed to be having a meeting on costs of back office services with the Heads of Origination?  Are we close to having this?

Thanks

Louise","A2653BIPJKEMRK","Action Required","2017-09-11 17:14:30 UTC"
"3T8DUCXY0M5576VHK1RLL0WB8EGT9R","There are 25 owned and 6 leased fax machines on ECS 05 & 06 per the UBS asset scheduled.  After doing a walk though on the floors, the machines are concentrated in certain business areas.  Current machine placement will not accommodate the type of usage that I suspect Sally's group will need to have.

My suggestion is that the settlements group(s) bring their fax machines with them, and we have the numbers changed.

Paige","A2653BIPJKEMRK","Read Later","2017-09-11 17:14:00 UTC"
"3OLZC0DJ8IEDVZS9TQXDZBJZOPJIVF","Hiring Managers, 

Here are a few tips that will immediately improve the time it takes to make a 
offer to your candidates.   

All applicants must fill out and sign an Application and a Fair Credit 
Reporting Act form (included with the application) prior to being 
interviewed.   You may either have the applicant fill out a form before you 
interview them or you can send the applicant to the 36th floor to fill out 
the forms before you interview them.     
Notify Hector McLoughlin or Frank deJesus if you are interviewing an external 
candidate that is a former Enron employee.    All previous Enron employees 
will be reviewed by HR and Sally Beck prior to being invited to interview.   
We hope that this process will eliminate re-hiring poor performers. 
If you want to make an offer of employment to a candidate for a Management 
Position, please include Sally Beck in the process for input.    As a final 
step of the selection process, Sally would like to meet with the candidate if 
time allows or to phone interview the candidate as an alternative.    Sally's 
involvement should occur after you have identified the candidate as a 
potential Management new hire. 

Thanks for your help with this process.   
ENA Energy Ops Human Resources Team","A2653BIPJKEMRK","Read Later","2017-09-11 17:13:45 UTC"
"3PIOQ99R7XL5WLE0LG008XDXWH4NUB","The website containing all of the documentation created at the ASE is now 
available on our intranet.  Instructions for launching the site are below.  
This website contains the working documents created during the three day 
DesignShop.  It is organized chronolgically by the various activities we 
completed during the event.  Each section contains the assignment, team 
lists, the hypertiles used during the team report-outs and a transcript of 
the report outs.  The Executive Summary document you should have already 
received and a bibliography of the articles used during the External Scan are 
also included.  

As a participant, you may find these working documents to be helpful.  
However, those who were not participants in the session do not have the 
context within which the conversations and work were conducted.  Therefore, I 
encourage you to be prudent in the distribution of this information as it may 
be misinterpreted.

If you have any questions, please contact me.","A2653BIPJKEMRK","Read Later","2017-09-11 17:14:23 UTC"
