"HITID","email","Worker","Answer","Date"
"3UDTAB6HH5Y4RXYQMZ3B1PU6B3K09N","Brenda - It would be best if you check with Marvia regarding my schedule 
before scheduling a meeting.  I will be in a PRC meeting all afternoon on 
Tuesday.
  Also - don't you think you should invite Sally as well?","AS9E0S6DBSWH7","Action Required","2017-09-11 17:06:19 UTC"
"32L724R85KJ0QFVD7EOETJUH21IPI1","I heard today that Curtis Smith has resigned.  I am sure that both ot you 
know that Curtis and Jeremy Wong were viewed by users as critical resources 
for ERMS support.  Even at a stand still, my team had great concern over the 
rumored loss of Curtis and/or Jeremy.  And with the assumption that Sitara 
will not go forward for valuation, then ERMS really has become repositioned 
as one of our key, strategic systems.  There is much to do to ""catch up"", if 
you will, with changes and enhancements that were put on hold for several 
years during the Sitara development stage.  And our business continues to 
grow and change rapidly, requiring responsive enhancements on an on-going 
basis.   

I would like to get together to discuss the staffing plan for support of ERMS 
as soon as possible.   We need to understand how day-to-day production 
support will be managed and how development work will be effectively 
handled.  

I will ask my assistant to set up a meeting as soon as possible.  ","A2OAZPREKF6PQR","Action Required","2017-09-11 17:06:26 UTC"
"3GMLHYZ0LDWZ8KIESI9BPDB4018UY8","Mary

I am putting together an analysis of these guys right now since they just 
came on the scene.  I want to talk to Tom more about this company before I 
finish the document because he has a great contact there. The JV with Prebon 
Yamane is not that strong but having Amerex and The Bank of New York is 
huge.  Please keep me informed of any other information you hear about Energy 
Clear or any other potential competition.  Thanks.

James","A2OAZPREKF6PQR","Action Required","2017-09-11 17:06:44 UTC"
"39AYGO6AFEJKUAOZPY2XSRZHTVMN69","Dear Sally,

I'm looking forward to start working on the 22nd.  I've arranged to have the
first day orientation as well as PC training on this date, which will last
until about 4:30.

I'm putting together some thoughts on how to best ""kick off"" my roles and
responsibilities and was wondering if you would be able to meet at 4:30 on
the 22nd to go over this.

I'm available through tomorrow at 713 356 4086 and the rest of the week at
713 628 7570.

Best regards,

Shona","A2653BIPJKEMRK","Action Required","2017-09-11 17:06:24 UTC"
"32ZCLEW0BYJWLQFJPW9E5K9HFG7PJD","Sally, at the beginning of the new year, you expressed your desire to have a 
report developed which captured all new hires for Energy Operations weekly.  
This report needed to include all transfers in and out of Energy Operations 
as well.  After speaking to Alexus about your request, she had indicated that 
she may have a report already developed to meet your needs.  I encouraged her 
to speak to you regarding any additional details that that may be needed.  
Alexus agreed to follow up to further assess your needs.  Please let me know 
how I may help with the process.","A2AAY4VT9L71SY","Action Required","2017-09-11 17:07:10 UTC"
"36KM3FWE3QB0DEAX725RNT30GDW07B","Attached please find the log report for the week of Dec 10-17th, as of Dec 
12th.  Should you have any questions please feel free to contact me at  ext. 
54751.","A2AAY4VT9L71SY","Read Later","2017-09-11 17:07:03 UTC"
"3WJGKMRWVH80OF6NAV1XIMFXBDVDC9","Mr. Hall,
I have just reviewed the Merchant Portfolio Summary for 6/20 and have the 
following questions:
 1) CALME shows an asset of $291.9MM  and APACHI shows an asset of $113.0MM 
and they show no p&l for the year
  Is this possible in a world of changing interest rates and equity premiums 
and commodity prices?
 2) India recently invested in an IPO (rediff.com) for which there was a 
simultaneous DASH to buy and sell (sounds like a Merchant deal).
  Where does this show up?
 3) There are several bonds (publicly traded, registrered securities, housed 
in our Prime Broker accounts) owned by various Enron entities
  that I do not believe are on the DPR.  Shouldn't they be? And if so, who is 
deciding not to include?
Pls advise at your earliest convenience as you always do.
Thanks
Ted","A2AAY4VT9L71SY","Action Required","2017-09-11 17:07:49 UTC"
"3SCKNODZ0WF3YA24887PY5ZDO66N78","Please review and e-mail me your comments.

Thanks","A2AAY4VT9L71SY","Action Required","2017-09-11 17:07:43 UTC"
"3BVS8WK9QZUYMLU3O96DYZPSLX3IB9","
Sally,  please let me know if you'd like to continue to receive this weekly 
report and/or you'd like it revised in any way. 

Thank you, 
Toni Graham
Human Resources","A2AAY4VT9L71SY","Action Required","2017-09-11 17:06:55 UTC"
"3ZRKL6Z1E72J7G5A97S53CMCA8XSGS","Sally, 
As I told you last week, I laid a big egg and ""put the cat amongst the 
pigeons"" as Steve Stock put it.  Phillipe called a meeting with Rick (and 
me), Debbie Brackett and Steve yesterday to ""clear the air"".  While he 
pledged to be attentive to the problem (as I articulated), he still focused 
on fixing process which I fear gets us to where we thought we were as opposed 
to where we need to be.  I continue to believe that not only are there things 
just plain broken, but what we have gotten used to as ""acceptable"" is now 
inadequate.  This includes the ability for ""human"" systems and processes to 
be automated to avoid stupid downstream data problems as well as improve 
analytics.  You will be cordially invited to be (another) weekly meeting that 
both Rick and Phillipe plan to attend to monitor and guide progress.
Ted","A2AAY4VT9L71SY","Read Later","2017-09-11 17:08:02 UTC"
