"HITID","email","Worker","Answer","Date"
"3X2LT8FDHVHXLIG1AEQI8O8ZS2H8W8","I just realized that I had this on my calendar for the wrong time-- it's 4:30 
Eastern (that's 3:30 our time) in case any of you also had misinterpreted the message. ","AY5O199V9M9O7","Neither","2017-09-11 17:23:26 UTC"
"3RWO3EJELG8PQ9ZFZ7381KDVLZ81PM","Can you send me a schedule of the salary and level of everyone in the 
scheduling group.  Plus your thoughts on any changes that need to be made.  
(Patti S for example)

Phillip""","A2EOOF9D135HQ1","Action Required","2017-09-11 17:23:23 UTC"
"3X52SWXE0W4ZXL6ERQ6NAA4IIT1WC1","I do have a 
few other thoughts to share that may be helpful for the California folks.

The format, although somewhat informal, had a  court reporter present and 
transcripts will be published. Each state was invited to have 2 
representatives and one of the 2 had to be a Commission member.  Opening 
comments were taken from each state and then specific topics were discussed.  
Herzberg participated primarily in the opening discussion. 

He came across as very sincere---indicated that they were working """"around the 
clock"""" to take care of their problems, but that they cannot do it alone.  He 
asked for FERC to help get Califonia to """"stabilization"""" and specifically 
asked FERC for three actions:  an 18 month temporary price cap on 
electricity,  an 18 month temporary price cap on natural gas prices and to 
prohibit any withholding of pipeline capacity to California.  

He was treated very respectfully (which was not as evident  in the comments 
to Commissioner Brown), and I think he did his cause some good.  Much more so 
that in other venues when I've seen other reps from Davis's office speak.  
Breathitt came to California's defense at some point in the discussion.

Commissioner Brown did his share of ranting about EVERYBODY knowing that 
market manipulation is taking place and that the bastards were going to pay 
for their misdeeds (ok..he didn't use those words, but his message was clear)

Lastly, the Chair of the Montana was the most vocal and honest in his 
comments to the California partcipants stating, in part,  """"why should Montana 
ratepayers be taking the hit because California didn't build power plants.""""","A8NUCTL00M11Q","Read Later","2017-09-11 17:23:22 UTC"
"3B6F54KMR1BM31F7RO72WPI68JF1S2","As indicated on the voice mail, here is our idea of what the EA should look 
like.

I really appreciate the help you are providing us on such a short notice.

Thanks,

Miguel Vasquez","A2N7I0331X72Z7","Action Required","2017-09-11 17:23:22 UTC"
"32CXT5U14F2KTERWFEBHQ0N27M68U9","A decision will be made this evening on whether to exercise the GOI counter 
guarantee for the month of January.  As discussed, if we proceed with this 
action, we will want to continue past practice and issue a DPC press 
release.  Please note that the fourth paragraph to the draft release includes 
wording indicating growing lender concern.  As a consequence, we would 
appreciate your (IR) concurrence as well as any comments on this approach.

Thanks,

John ","A8NUCTL00M11Q","Read Later","2017-09-11 17:23:32 UTC"
"3FBEFUUYRJ4DARUAGUXS6LFHUOO6A9","Attached is the amendment to the CA we discussed.  Please review and 
let me know if you have any questions or comments.  Thanks.  

 << File: NFG CA Amendment.doc >> 

If you don't have the original CA that this document amends, please contact 
Mary Ogden and she can provide a copy of the original.","A8NUCTL00M11Q","Action Required","2017-09-11 17:23:27 UTC"
"3AC6MFV69JHU8OMZO54VK5VGCNAZH3","Traveling to have a business meeting takes the fun out of the trip.  Especially if you have to prepare a presentation.  I would suggest holding the business plan meetings here then take a trip without any formal business meetings.  I would even try and get some honest opinions on whether a trip is even desired or necessary.

As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.  Too often the presenter speaks and the others are quiet just waiting for their turn.   The meetings might be better if held in a round table discussion format.  

My suggestion for where to go is Austin.  Play golf and rent a ski boat and jet ski's.  Flying somewhere takes too much time.
","A1GKEEI844CEKI","Action Required","2017-09-11 17:22:51 UTC"
"31GECDVA9ILCNPI7QHGGQGDVY5Y66J","We had very successful media briefings in the US last week for Enron Credit.
Overall, the meetings and site demos were a huge success and all of the 
reporters seemed
to genuinely benefit from the site demo of Enron Credit.  Below is a quick
recap of John Sherriff's and Jeff Kinneman's media briefing schedules, as
well as some additional notes and an article resulting from one of the
demos.


John Sherriff held briefings with reporters from the following publications:

DerivativesWeek
Dow Jones
Fortune Magazine
Bondweek
Investor's Business Daily
Financial Times
BusinessWeek

Jeff Kinneman held briefings with reporters from the following publications:

Risk Magazine
Institutional Investor
Wall Street & Technology
Derivatives Strategy
Pensions & Investments
Power Finance & Risk


We are already beginning to see results based on the demos.  As you know, Dow 
Jones wrote
a story on Enron Credit following the site demo; the article appeared on
April 4, 2001. It is pasted below for your review. CFO.com also ran a story 
on Enron Credit last week.
In the next few weeks we expect to see stories in Bondweek, BusinessWeek,
DerivativesWeek and Derivatives Strategy.

I will keep you posted on the European Briefings as well.

Thanks- Meredith 

Enron Turns Internal Credit-Risk Tool Into New Product
By Christina Cheddar
","A8NUCTL00M11Q","Action Required","2017-09-11 17:23:13 UTC"
"3FI30CQHVJIIT1Z2M8XO1WZNC696B4","MARK YOUR LUNCH CALENDARS NOW !

You are invited to attend the EWS Brown Bag Lunch Series

Featuring:  TIM BATTAGLIA

Topic:  Steel Origination

Thursday, April 19, 2001
11:30 a.m. - 12:30 p.m.
EB 5 C2","AD317NO9623GZ","Action Required","2017-09-11 17:23:18 UTC"
"3FI30CQHVJIIT1Z2M8XO1WZNC69B69","Gerald,

The ammendment with the mark up we talked about.

thanks
Miguel","AS9E0S6DBSWH7","Read Later","2017-09-11 17:23:15 UTC"
